Unnamed: 0,Age,Sport
0,1,Cricket
1,2,Cricket
2,3,Cricket
3,4,Cricket
4,5,Cricket
5,6,Cricket
6,7,Cricket
7,8,Cricket
8,9,Cricket
9,10,Cricket
10,11,Cricket
11,12,Cricket
12,13,Cricket
13,14,Cricket
14,15,Cricket
15,16,Cricket
16,17,Cricket
17,18,Cricket
18,19,Cricket
19,20,Cricket
20,21,Football
21,22,Football
22,23,Football
23,24,Football
24,25,Football
25,26,Football
26,27,Football
27,28,Football
28,29,Football
29,30,Football
30,31,Football
31,32,Football
32,33,Football
33,34,Football
34,35,Football
35,36,Football
36,37,Football
37,38,Football
38,39,Football
39,40,Football
40,41,Hockey
41,42,Hockey
42,43,Hockey
43,44,Hockey
44,45,Hockey
45,46,Hockey
46,47,Hockey
47,48,Hockey
48,49,Hockey
49,50,Hockey
50,51,Hockey
51,52,Hockey
52,53,Hockey
53,54,Hockey
54,55,Hockey
55,56,Hockey
56,57,Hockey
57,58,Hockey
58,59,Hockey
59,60,Hockey
60,61,Dogball
61,62,Dogball
62,63,Dogball
63,64,Dogball
64,65,Dogball
65,66,Dogball
66,67,Dogball
67,68,Dogball
68,69,Dogball
69,70,Dogball
70,71,Dogball
71,72,Dogball
72,73,Dogball
73,74,Dogball
74,75,Dogball
75,76,Dogball
76,77,Dogball
77,78,Dogball
78,79,Dogball
79,80,Dogball
80,81,Vollyball
81,82,Vollyball
82,83,Vollyball
83,84,Vollyball
84,85,Vollyball
85,86,Vollyball
86,87,Vollyball
87,88,Vollyball
88,89,Vollyball
89,90,Vollyball
90,91,Vollyball
91,92,Vollyball
92,93,Vollyball
93,94,Vollyball
94,95,Vollyball
95,96,Vollyball
96,97,Vollyball
97,98,Vollyball
98,99,Vollyball
99,99,Vollyball
